id	name	trigger_event	target_divisions	target_roles	target_departments	url_template	title_template
37	DI - Cancelled	di_cancelled	marketing,operational	manager	NULL	/operational/delivery	DI Dibatalkan: {{nomor_di}}
33	DI - Created (Marketing ? Operational)	di_created	operational	supervisor,manager,staff	NULL	/operational/delivery	DI Baru: {{nomor_di}}
36	DI - Delivered	di_delivered	marketing	supervisor,manager	NULL	/operational/delivery	DI Selesai: {{nomor_di}}
35	DI - In Progress	di_in_progress	marketing	supervisor,staff	NULL	/operational/delivery	DI Diproses: {{nomor_di}}
3	DI Ready - Operational Team	di_submitted	operational	NULL	NULL	/operational/delivery	DI Siap Diproses: {{nomor_di}}
52	Employee - Assigned to Area	employee_assigned	service	staff,manager	NULL	/service/area-management	Assignment Baru: {{employee_name}}
53	Employee - Unassigned from Area	employee_unassigned	service	staff,manager	NULL	/service/area-management	Assignment Dihapus: {{employee_name}}
133	Inspection Completed Notification	inspection_completed	Operations,Fleet,Management	Director,Manager,FleetManager	NULL	NULL	Inspeksi Selesai: {{unit_code}}
132	Inspection Scheduled Notification	inspection_scheduled	Operations,QualityControl	Manager,Supervisor,QC	NULL	NULL	Inspeksi Dijadwalkan: {{unit_code}}
54	Inventory Unit - Added	inventory_unit_added	warehouse	supervisor,manager	NULL	/warehouse/inventory/invent_unit	Unit Baru: {{no_unit}}
59	Inventory Unit - Low Stock	inventory_unit_low_stock	warehouse	manager	NULL	/warehouse/inventory/invent_unit	Low Stock Alert: {{tipe}}
58	Inventory Unit - Maintenance	inventory_unit_maintenance	service	supervisor,staff	NULL	/warehouse/inventory/invent_unit	Unit Maintenance: {{no_unit}}
56	Inventory Unit - Rental Active	inventory_unit_rental_active	marketing,warehouse	supervisor	NULL	/warehouse/inventory/invent_unit	Unit Di-Rental: {{no_unit}}
57	Inventory Unit - Returned	inventory_unit_returned	warehouse,service	supervisor	NULL	/warehouse/inventory/invent_unit	Unit Kembali: {{no_unit}}
55	Inventory Unit - Status Changed	inventory_unit_status_changed	warehouse	supervisor,staff	NULL	/warehouse/inventory/invent_unit	Status Unit Berubah: {{no_unit}}
86	Invoice - Created	invoice_created	accounting	staff,supervisor	NULL	/accounting/invoice-management	Invoice Baru: {{invoice_number}}
104	Invoice Created Notification	invoice_created	Finance,Accounting,Marketing	Director,Manager,Supervisor,Staff	NULL	NULL	Invoice Baru Dibuat
89	Invoice - Overdue	invoice_overdue	accounting	manager	NULL	/accounting/invoice-management	Invoice OVERDUE: {{invoice_number}}
88	Invoice - Paid	invoice_paid	accounting	manager	NULL	/accounting/invoice-management	Invoice Lunas: {{invoice_number}}
87	Invoice - Sent	invoice_sent	accounting	supervisor	NULL	/accounting/invoice-management	Invoice Terkirim: {{invoice_number}}
135	Maintenance Completed Notification	maintenance_completed	Operations,Finance,Management	Director,Manager	NULL	NULL	Maintenance Selesai: {{unit_code}}
134	Maintenance Scheduled Notification	maintenance_scheduled	Operations,Maintenance	Manager,Supervisor,Mechanic	NULL	NULL	Maintenance Dijadwalkan: {{unit_code}}
96	Password - Reset	password_reset	NULL	staff	NULL	/login	Password Reset: {{username}}
137	Payment Overdue Notification	payment_overdue	Finance,Management,Marketing	Director,Manager,Accounting,Sales	NULL	NULL	PEMBAYARAN TERLAMBAT: {{invoice_number}}
90	Payment - Received	payment_received	accounting	staff,supervisor	NULL	/accounting/payment-validation	Payment Diterima: {{amount}}
136	Payment Received Notification	payment_received	Finance,Accounting,Marketing	Director,Manager,Accounting	NULL	NULL	Pembayaran Diterima: {{invoice_number}}
105	Payment Status Updated Notification	payment_status_updated	Finance,Accounting,Marketing	Director,Manager,Supervisor	NULL	NULL	Status Pembayaran Diperbarui
99	Permission - Changed	permission_changed	NULL	staff	NULL	/dashboard	Permission Diupdate
51	PMPS - Completed	pmps_completed	service	manager	NULL	/service/pmps	PMPS Selesai: {{unit_no}}
49	PMPS - Due Soon	pmps_due_soon	service	supervisor	NULL	/service/pmps	PMPS Due: {{unit_no}}
50	PMPS - Overdue	pmps_overdue	service	manager	NULL	/service/pmps	PMPS OVERDUE: {{unit_no}}
73	PO - Approved	po_approved	purchasing	staff,supervisor	NULL	/purchasing/po-unit	PO Disetujui: {{nomor_po}}
71	PO - Created (Purchasing ? Warehouse)	po_attachment_created	warehouse	supervisor,manager	NULL	/purchasing/po-attachment	PO Attachment Baru: {{nomor_po}}
106	Purchase Order Created Notification	po_created	Purchasing,Finance,Accounting	Manager,Supervisor,Staff	NULL	NULL	Purchase Order Baru Dibuat
75	PO - Received	po_received	purchasing	supervisor,manager	NULL	/warehouse/purchase-orders	PO Diterima: {{nomor_po}}
74	PO - Rejected	po_rejected	purchasing	staff,supervisor	NULL	/purchasing/po-unit	PO Ditolak: {{nomor_po}}
72	PO - Created (Purchasing ? Warehouse)	po_sparepart_created	warehouse	supervisor,manager	NULL	/purchasing/po-sparepart	PO Sparepart Baru: {{nomor_po}}
70	PO - Created (Purchasing ? Warehouse)	po_unit_created	warehouse	supervisor,manager	NULL	/purchasing/po-unit	PO Unit Baru: {{nomor_po}}
111	PO Verification Updated Notification	po_verification_updated	Warehouse,Purchasing,QualityControl	Manager,Supervisor,QC	NULL	NULL	Verifikasi PO Diperbarui
76	PO - Verified	po_verified	purchasing,accounting	manager	NULL	/purchasing/po-unit	PO Terverifikasi: {{nomor_po}}
20	Purchase Order Created - Multi-Target	purchase_order_created	NULL	NULL	NULL	purchasing/po	PO Baru: {{po_number}} - {{vendor}}
114	Quotation Approved Notification	quotation_approved	Marketing,Finance,Management	Director,Manager	NULL	NULL	Quotation Disetujui: {{quotation_number}}
38	Quotation - Created	quotation_created	marketing	manager	NULL	/marketing/penawaran	Penawaran Baru: {{quotation_number}}
112	Quotation Created Notification	quotation_created	Marketing,Management	Director,Manager,Supervisor,Sales	NULL	NULL	Quotation Baru: {{quotation_number}}
142	Quotation Follow-up Required Notification	quotation_follow_up_required	Marketing,Management	Manager,Sales	NULL	NULL	Follow-up Diperlukan: {{quote_number}}
115	Quotation Rejected Notification	quotation_rejected	Marketing,Management	Director,Manager,Sales	NULL	NULL	Quotation Ditolak: {{quotation_number}}
141	Quotation Sent to Customer Notification	quotation_sent_to_customer	Marketing,Management	Manager,Supervisor,Sales	NULL	NULL	Quotation Terkirim: {{quote_number}}
113	Quotation Updated Notification	quotation_updated	Marketing,Management	Director,Manager,Supervisor	NULL	NULL	Quotation Diperbarui: {{quotation_number}}
97	Role - Created	role_created	admin	admin	NULL	/admin/advanced-users	Role Baru: {{role_name}}
98	Role - Updated	role_updated	admin	admin	NULL	/admin/advanced-users	Role Diupdate: {{role_name}}
122	Service Area Assignment Completed Notification	service_assignment_completed	Operations,Fleet,Marketing,Finance	Director,Manager	NULL	NULL	Penugasan Selesai: {{unit_code}}
120	Service Area Assignment Created Notification	service_assignment_created	Operations,Fleet,Marketing	Manager,Supervisor	NULL	NULL	Penugasan Area Baru: {{unit_code}}
121	Service Area Assignment Updated Notification	service_assignment_updated	Operations,Fleet,Marketing	Manager,Supervisor	NULL	NULL	Penugasan Area Diperbarui: {{unit_code}}
66	Sparepart - Added	sparepart_added	warehouse	supervisor	NULL	/warehouse/inventory/invent_sparepart	Sparepart Baru: {{nama_sparepart}}
68	Sparepart - Low Stock	sparepart_low_stock	warehouse,purchasing	manager	NULL	/warehouse/inventory/invent_sparepart	Low Stock Alert: {{nama_sparepart}}
69	Sparepart - Out of Stock	sparepart_out_of_stock	purchasing	manager	NULL	/warehouse/inventory/invent_sparepart	OUT OF STOCK: {{nama_sparepart}}
67	Sparepart - Used	sparepart_used	warehouse	staff	NULL	/warehouse/inventory/invent_sparepart	Sparepart Digunakan: {{nama_sparepart}}
100	SPK - Assigned to Mechanic	spk_assigned	service	staff	NULL	/service/spk_service	SPK Assigned: {{nomor_spk}}
103	SPK - Cancelled	spk_cancelled	service,marketing,operational	supervisor,manager	NULL	/marketing/spk	SPK Dibatalkan: {{nomor_spk}}
140	SPK Completed Notification	spk_completed	Operations,Fleet,Management	Director,Manager,FleetManager	NULL	NULL	SPK Selesai: {{spk_number}}
21	SPK - Created (Marketing ? Service)	spk_created	service	supervisor,staff,manager	NULL	/service/spk_service	SPK Baru: {{nomor_spk}}
139	SPK Created Notification	spk_created	Operations,Workshop	Manager,Supervisor,Mechanic	NULL	NULL	SPK Baru: {{spk_number}}
77	Supplier - Created	supplier_created	purchasing	manager	NULL	/purchasing/supplier-management	Supplier Baru: {{supplier_name}}
79	Supplier - Deleted	supplier_deleted	purchasing	manager	NULL	/purchasing/supplier-management	Supplier Dihapus: {{supplier_name}}
78	Supplier - Updated	supplier_updated	purchasing	staff,supervisor	NULL	/purchasing/supplier-management	Supplier Diupdate: {{supplier_name}}
123	Unit Location Updated Notification	unit_location_updated	Operations,Fleet,Tracking	Manager,Supervisor,FleetManager	NULL	NULL	Lokasi Unit Diperbarui: {{unit_code}}
42	Unit Preparation - Completed	unit_prep_completed	operational,marketing	supervisor,manager	NULL	/service/spk_service	Unit Siap: {{no_unit}}
102	Unit Preparation - Completed (Service ? Marketing)	unit_prep_completed	marketing,operational	supervisor,manager,staff	NULL	/operational/delivery	Unit Siap: {{no_unit}}
41	Unit Preparation - Started	unit_prep_started	service	supervisor	NULL	/service/spk_service	Persiapan Unit Dimulai: {{no_unit}}
101	Unit Preparation - Started	unit_prep_started	service	supervisor,manager	NULL	/service/spk_service	Persiapan Unit Dimulai: {{no_unit}}
94	User - Activated	user_activated	NULL	staff	NULL	/dashboard	Akun Aktif: {{username}}
91	User - Created	user_created	admin	admin	NULL	/admin/advanced-users	User Baru: {{username}}
95	User - Deactivated	user_deactivated	admin	staff,admin	NULL	/admin/advanced-users	Akun Nonaktif: {{username}}
93	User - Deleted	user_deleted	admin	admin	NULL	/admin/advanced-users	User Dihapus: {{username}}
92	User - Updated	user_updated	admin	admin	NULL	/admin/advanced-users	User Diupdate: {{username}}
131	Warehouse Stocktake Completed Notification	warehouse_stocktake_completed	Warehouse,Finance,Management	Director,Manager,Accounting	NULL	NULL	Stocktake Selesai: {{warehouse_name}}
129	Warehouse Stock Alert Notification	warehouse_stock_alert	Warehouse,Purchasing,Management	Manager,Supervisor,Procurement	NULL	NULL	Alert Stok Rendah: {{item_name}}
130	Warehouse Transfer Completed Notification	warehouse_transfer_completed	Warehouse,Management	Director,Manager	NULL	NULL	Transfer Selesai: {{transfer_code}}
124	Warehouse Unit Updated Notification	warehouse_unit_updated	Warehouse,Operations,Fleet	Manager,Supervisor	NULL	NULL	Unit Warehouse Diperbarui: {{unit_code}}
116	Work Order Assigned Notification	workorder_assigned	Operations,Workshop	Manager,Supervisor,Mechanic	NULL	NULL	Work Order Ditugaskan: {{wo_number}}
117	Work Order Completed Notification	workorder_completed	Operations,Fleet,Management	Director,Manager,FleetManager	NULL	NULL	Work Order Selesai: {{wo_number}}
109	Work Order Created Notification	workorder_created	Operations,Workshop,Maintenance	Manager,Supervisor,Mechanic	NULL	NULL	Work Order Baru Dibuat
118	Work Order Delayed Notification	workorder_delayed	Operations,Management	Director,Manager	NULL	NULL	Work Order Terlambat: {{wo_number}}
119	Work Order Sparepart Added Notification	workorder_sparepart_added	Operations,Warehouse,Finance	Manager,Supervisor	NULL	NULL	Sparepart Ditambahkan: WO {{wo_number}}
110	Work Order Status Changed Notification	workorder_status_changed	Operations,Workshop,Fleet	Manager,Supervisor,FleetManager	NULL	NULL	Status Work Order Berubah
45	Work Order - Assigned	work_order_assigned	service	staff	NULL	/service/work-orders	WO Assigned: {{nomor_wo}}
48	Work Order - Cancelled	work_order_cancelled	service	manager	NULL	/service/work-orders	WO Dibatalkan: {{nomor_wo}}
47	Work Order - Completed	work_order_completed	service	manager	NULL	/service/work-orders	WO Selesai: {{nomor_wo}}
44	Work Order - Created	work_order_created	service	supervisor,staff	NULL	/service/work-orders	Work Order Baru: {{nomor_wo}}
46	Work Order - In Progress	work_order_in_progress	service	supervisor	NULL	/service/work-orders	WO Dikerjakan: {{nomor_wo}}
