id;customer_code;customer_name;phone;email;marketing_name;is_active;created_at;updated_at;address;npwp;billing_address;payment_terms;credit_limit;industry_type;deleted_at
63;CUST-0063;PT Georg Fischer Indonesia;;;;1;;;;;;;;;
64;CUST-0064;PT Godrej Consumer Products Indonesia;;;;1;;;;;;;;;
65;CUST-0065;PT Griya Mandiri Perkasa;;;;1;;;;;;;;;
66;CUST-0066;PT Gunanusa Eramandiri;;;;1;;;;;;;;;
67;CUST-0067;PT Hab Dong Indonesia;;;;1;;;;;;;;;
68;CUST-0068;PT Haier Electrical Appliances Indonesia;;;;1;;;;;;;;;
69;CUST-0069;PT Hama Work Solution;;;;1;;;;;;;;;
70;CUST-0070;PT Hasta Putera Perkasa;;;;1;;;;;;;;;
71;CUST-0071;PT Haswin Hijau Perkasa;;;;0;;;;;;;;;
72;CUST-0072;PT Heinz ABC Indonesia;;;;1;;;;;;;;;
73;CUST-0073;PT Herlina Indah;;;;1;;;;;;;;;
74;CUST-0074;PT Hisys Engineering Indonesia;;;;1;;;;;;;;;
75;CUST-0075;PT Honda Precision Parts Manufacturing;;;;1;;;;;;;;;
76;CUST-0076;PT Hulane Tech Manufacture;;;;0;;;;;;;;;
77;CUST-0077;PT Hyundai Energy Indonesia;;;;1;;;;;;;;;
78;CUST-0078;PT Ichikoh Indonesia;;;;1;;;;;;;;;
79;CUST-0079;PT ICI Paints Indonesia;;;;1;;;;;;;;;
80;CUST-0080;PT IGP Internasional;;;;1;;;;;;;;;
81;CUST-0081;PT ILC Logistics Indonesia;;;;1;;;;;;;;;
82;CUST-0082;PT Indah Bestari Permai;;;;1;;;;;;;;;
83;CUST-0083;PT Indah Kiat Pulp & Paper Tbk;;;;1;;;;;;;;;
84;CUST-0084;PT Indo Bharat Rayon;;;;1;;;;;;;;;
85;CUST-0085;PT Indo Kordsa Tbk;;;;1;;;;;;;;;
86;CUST-0086;PT Indo Retreading And Tire Service;;;;1;;;;;;;;;
87;CUST-0087;PT Indoblock Mitra Lestari Industri;;;;1;;;;;;;;;
88;CUST-0088;PT Indocement Tunggal Prakarsa Tbk;;;;1;;;;;;;;;
89;CUST-0089;PT Indocorr Packaging Cikarang;;;;1;;;;;;;;;
90;CUST-0090;PT Indofood CBP Sukses Makmur Tbk;;;;1;;;;;;;;;
91;CUST-0091;PT Indokuat Sukses Makmur;;;;1;;;;;;;;;
92;CUST-0092;PT Indolakto;;;;1;;;;;;;;;
93;CUST-0093;PT Indonesia Chemi-Con;;;;1;;;;;;;;;
94;CUST-0094;PT Indonesia Steel Tube Works;;;;1;;;;;;;;;
95;CUST-0095;PT Indoris Printingdo;;;;1;;;;;;;;;
96;CUST-0096;PT Ingress Industrial;;;;1;;;;;;;;;
97;CUST-0097;PT Ingress Technologies Indonesia;;;;1;;;;;;;;;
98;CUST-0098;PT Intan Jaya Solusi Medika;;;;1;;;;;;;;;
99;CUST-0099;PT Intilog Sukses Abadi;;;;1;;;;;;;;;
100;CUST-0100;PT Intitrans Perkasa Abadi;;;;1;;;;;;;;;
101;CUST-0101;PT Jakarta Sereal;;;;1;;;;;;;;;
102;CUST-0102;PT Java Seafood;;;;1;;;;;;;;;
103;CUST-0103;Jimmy Forklift;;;;0;;;;;;;;;
104;CUST-0104;PT Kadaka Adhi Logistic;;;;1;;;;;;;;;
105;CUST-0105;PT Kaldu Sari Nabati Indonesia;;;;1;;;;;;;;;
106;CUST-0106;PT Kamadjaja Logistics;;;;1;;;;;;;;;
107;CUST-0107;PT Kanepackage Indonesia;;;;1;;;;;;;;;
108;CUST-0108;PT Karenu Indah;;;;0;;;;;;;;;
109;CUST-0109;PT Karya Inti Karton;;;;1;;;;;;;;;
110;CUST-0110;PT Karya Perdana Engineering;;;;1;;;;;;;;;
111;CUST-0111;PT Kasmaji Inti Utama;;;;1;;;;;;;;;
112;CUST-0112;PT Kati Kartika Murni;;;;1;;;;;;;;;
113;CUST-0113;PT KCC Glass Indonesia;;;;1;;;;;;;;;
114;CUST-0114;PT Keramika Indonesia Assosiasi Tbk;;;;1;;;;;;;;;
115;CUST-0115;PT Kino Indonesia Tbk;;;;1;;;;;;;;;
116;CUST-0116;PT Kirana Permata;;;;1;;;;;;;;;
117;CUST-0117;PT KKM Karawaci;;;;1;;;;;;;;;
118;CUST-0118;PT Kobin Keramik Industri;;;;1;;;;;;;;;
119;CUST-0119;PT Kohler Manufacturing Indonesia;;;;1;;;;;;;;;
120;CUST-0120;PT Kokoh Inti Arebama Tbk;;;;1;;;;;;;;;
121;CUST-0121;PT Komala Agung Makmur;;;;1;;;;;;;;;
122;CUST-0122;PT Konverta Mitra Abadi;;;;1;;;;;;;;;
123;CUST-0123;Koperasi Karyawan Seiwa Indonesia;;;;1;;;;;;;;;
124;CUST-0124;PT Kurnia Mas Sewartama;;;;0;;;;;;;;;
125;CUST-0125;PT Kyoraku Blowmolding Indonesia;;;;1;;;;;;;;;
126;CUST-0126;PT Lami Packaging Indonesia;;;;1;;;;;;;;;
127;CUST-0127;PT Lao Chow Indonesia;;;;1;;;;;;;;;
128;CUST-0128;PT Lastana Express Indonesia;;;;1;;;;;;;;;
129;CUST-0129;PT Lentera Hidup Bersama;;;;1;;;;;;;;;
130;CUST-0130;PT LG Electronics Indonesia;;;;1;;;;;;;;;
131;CUST-0131;PT Linfox Logistics Indonesia;;;;1;;;;;;;;;
132;CUST-0132;PT Lintas Dirga Nusantara;;;;1;;;;;;;;;
133;CUST-0133;PT Lion Superindo;;;;1;;;;;;;;;
134;CUST-0134;PT Logis All Global;;;;1;;;;;;;;;
135;CUST-0135;PT Logisall Servis Indonesia;;;;1;;;;;;;;;
136;CUST-0136;PT Lontar Papyrus Pulp & Paper Industry;;;;1;;;;;;;;;
137;CUST-0137;PT LX Pantos Indonesia;;;;1;;;;;;;;;
138;CUST-0138;PT M-I Production Chemicals;;;;1;;;;;;;;;
139;CUST-0139;PT Maruhachi Indonesia;;;;1;;;;;;;;;
140;CUST-0140;PT Matahari Rental Teknik;;;;1;;;;;;;;;
141;CUST-0141;PT Mecoindo;;;;1;;;;;;;;;
142;CUST-0142;PT Megmilk Snow Brand Indonesia;;;;1;;;;;;;;;
143;CUST-0143;PT Metalart Astra Indonesia;;;;1;;;;;;;;;
144;CUST-0144;PT Misumi Indonesia;;;;1;;;;;;;;;
145;CUST-0145;PT Mizushima Metal Works Indonesia;;;;1;;;;;;;;;
146;CUST-0146;PT Mulia Boga Raya Tbk;;;;1;;;;;;;;;
147;CUST-0147;PT Mulia Raya Agrijaya;;;;1;;;;;;;;;
148;CUST-0148;PT Mulia Tangguh Persada;;;;1;;;;;;;;;
149;CUST-0149;PT Muliaglass;;;;1;;;;;;;;;
150;CUST-0150;PT Musashi Auto Parts Indonesia;;;;1;;;;;;;;;
151;CUST-0151;PT NGK Ceramics Indonesia;;;;1;;;;;;;;;
152;CUST-0152;PT Nissin Jaya Indonesia;;;;1;;;;;;;;;
153;CUST-0153;PT Non Ferindo Utama;;;;1;;;;;;;;;
154;CUST-0154;PT NS BlueScope Indonesia;;;;1;;;;;;;;;
155;CUST-0155;PT Nusantara Ekspres Kilat;;;;1;;;;;;;;;
156;CUST-0156;PT Nusantara Parkerizing;;;;1;;;;;;;;;
157;CUST-0157;PT Nutribev Sinergy Indonesia;;;;1;;;;;;;;;
158;CUST-0158;PT Oji Sinarmas Packaging;;;;1;;;;;;;;;
159;CUST-0159;PT Okamoto Logistics Nusantara;;;;1;;;;;;;;;
160;CUST-0160;PT OKI Pulp & Paper Mills;;;;1;;;;;;;;;
161;CUST-0161;PT Otsuka Distribution Indonesia;;;;1;;;;;;;;;
162;CUST-0162;PT Otsuka Indonesia;;;;1;;;;;;;;;
163;CUST-0163;PT Pan Grafik Indonesia;;;;0;;;;;;;;;
164;CUST-0164;PT Panasonic Gobel Energy Indonesia;;;;1;;;;;;;;;
165;CUST-0165;PT Papandayan Cocoa Industries;;;;1;;;;;;;;;
166;CUST-0166;PT Papcor Asia Pacific;;;;1;;;;;;;;;
167;CUST-0167;PT Papertech Indonesia;;;;1;;;;;;;;;
168;CUST-0168;PT Perfetti Van Melle Indonesia;;;;1;;;;;;;;;
169;CUST-0169;PT Phoenix Resources International;;;;1;;;;;;;;;
170;CUST-0170;PT Piaggio Indonesia;;;;1;;;;;;;;;
171;CUST-0171;PT Pindo Deli Pulp and Paper Mills;;;;1;;;;;;;;;
172;CUST-0172;PT Prana Raya;;;;1;;;;;;;;;
173;CUST-0173;PT Primacorr Mandiri;;;;1;;;;;;;;;
174;CUST-0174;PT Prokemas Adhikari Kreasi;;;;1;;;;;;;;;
175;CUST-0175;PT Prysmian Cables Indonesia;;;;1;;;;;;;;;
176;CUST-0176;PT Pupuk Swadaya Purimas;;;;1;;;;;;;;;
177;CUST-0177;PT Purinusa Ekapersada;;;;1;;;;;;;;;
178;CUST-0178;PT Rapid Plast Indonesia;;;;1;;;;;;;;;
179;CUST-0179;PT Reckitt Benckiser Indonesia;;;;1;;;;;;;;;
180;CUST-0180;PT Resik Bumi Perkasa;;;;1;;;;;;;;;
181;CUST-0181;PT Restu Agung Wijaya;;;;1;;;;;;;;;
182;CUST-0182;PT Riau Andalan Paperboard International;;;;1;;;;;;;;;
183;CUST-0183;PT Rusli Jagat Utama;;;;1;;;;;;;;;
184;CUST-0184;PT Sains Logistics;;;;1;;;;;;;;;
185;CUST-0185;PT Saint-Gobain Trading Indonesia;;;;1;;;;;;;;;
186;CUST-0186;PT Saitama Stamping Indonesia;;;;1;;;;;;;;;
187;CUST-0187;PT Samsung SDS Global SCL Indonesia;;;;1;;;;;;;;;
188;CUST-0188;PT Samudera Logistics Services;;;;1;;;;;;;;;
189;CUST-0189;PT Sanco Gosai Indonesia;;;;1;;;;;;;;;
190;CUST-0190;PT Sankeikid Indonesia;;;;1;;;;;;;;;
191;CUST-0191;PT Sasa Inti;;;;1;;;;;;;;;
192;CUST-0192;PT Selaras Donlim Indonesia;;;;1;;;;;;;;;
193;CUST-0193;PT Semen Indonesia (Persero) Tbk;;;;1;;;;;;;;;
194;CUST-0194;PT Semen Jawa;;;;1;;;;;;;;;
195;CUST-0195;PT Senopati Fujitrans Logistics;;;;1;;;;;;;;;
196;CUST-0196;PT Sentra Mitra Sejahtera;;;;1;;;;;;;;;
197;CUST-0197;PT Sika Indonesia;;;;1;;;;;;;;;
198;CUST-0198;PT Sinar Mas Logistik;;;;1;;;;;;;;;
199;CUST-0199;PT Sinotrans Overseas Indonesia;;;;1;;;;;;;;;
200;CUST-0200;PT SKK Kaken Indonesia;;;;1;;;;;;;;;
201;CUST-0201;PT SNF Polymers Indonesia;;;;1;;;;;;;;;
202;CUST-0202;PT Sokobimo Indo Perkasa;;;;1;;;;;;;;;
203;CUST-0203;PT South Pacific Viscose;;;;1;;;;;;;;;
204;CUST-0204;PT Sri Trang Lingga Indonesia;;;;1;;;;;;;;;
205;CUST-0205;PT Star Rubber;;;;1;;;;;;;;;
206;CUST-0206;PT Step Up Indonesia;;;;1;;;;;;;;;
207;CUST-0207;PT Sucaco Tbk;;;;1;;;;;;;;;
208;CUST-0208;PT Sugity Creatives;;;;1;;;;;;;;;
209;CUST-0209;CV Sukaresmi;;;;1;;;;;;;;;
210;CUST-0210;PT Sumber Niaga Industri;;;;1;;;;;;;;;
211;CUST-0211;PT Summit Adyawinsa Indonesia;;;;1;;;;;;;;;
212;CUST-0212;PT Summit Seoyon Automotive Indonesia;;;;1;;;;;;;;;
213;CUST-0213;PT Sun Dragon;;;;1;;;;;;;;;
214;CUST-0214;PT Superior Porcelain Sukses;;;;1;;;;;;;;;
215;CUST-0215;PT Supernova Flexible Packaging;;;;1;;;;;;;;;
216;CUST-0216;PT Surya Rengo Containers;;;;1;;;;;;;;;
217;CUST-0217;PT Taco Anugerah Corporindo;;;;1;;;;;;;;;
218;CUST-0218;PT Tech Onshore MEP Prefabricators Indonesia;;;;1;;;;;;;;;
219;CUST-0219;PT Tekpak Indonesia;;;;1;;;;;;;;;
220;CUST-0220;PT The Univenus;;;;1;;;;;;;;;
221;CUST-0221;PT Tirta Alam Segar;;;;1;;;;;;;;;
222;CUST-0222;PT Tirta Sukses Perkasa;;;;1;;;;;;;;;
223;CUST-0223;PT Topla Abadi Jaya;;;;1;;;;;;;;;
224;CUST-0224;PT Torrecid Indonesia;;;;1;;;;;;;;;
225;CUST-0225;PT Tri Centrum Fortuna;;;;1;;;;;;;;;
226;CUST-0226;PT Trimitra Cikarang;;;;1;;;;;;;;;
227;CUST-0227;PT Trimitra Indoplast Utama;;;;1;;;;;;;;;
228;CUST-0228;PT Tuffindo Nittoku Autoneum;;;;1;;;;;;;;;
229;CUST-0229;PT Ultra Prima Abadi;;;;1;;;;;;;;;
230;CUST-0230;PT Ultra Prima Plast;;;;1;;;;;;;;;
231;CUST-0231;PT Ultra Sumatera Dairy Farm;;;;1;;;;;;;;;
232;CUST-0232;PT Ultrajaya Milk Industry & Trading Company Tbk;;;;1;;;;;;;;;
233;CUST-0233;PT Unilever Indonesia Tbk;;;;1;;;;;;;;;
234;CUST-0234;PT UPE Power Equipment;;;;1;;;;;;;;;
235;CUST-0235;PT UPM Raflatac Indonesia;;;;0;;;;;;;;;
236;CUST-0236;PT Wahana Citra Nabati;;;;1;;;;;;;;;
237;CUST-0237;PT Weatherford Indonesia;;;;1;;;;;;;;;
238;CUST-0238;PT Wira Insani;;;;1;;;;;;;;;
239;CUST-0239;PT Wisco Kayu;;;;1;;;;;;;;;
240;CUST-0240;Wuxi Xin Yuan Chuan Construction Eng;;;;1;;;;;;;;;
241;CUST-0241;PT Yanmar Indonesia;;;;1;;;;;;;;;
242;CUST-0242;PT YCH Indonesia;;;;1;;;;;;;;;
243;CUST-0243;PT Yoowon Electronics Indonesia;;;;1;;;;;;;;;
244;CUST-0244;PT Younexa Inti Materials;;;;1;;;;;;;;;
245;CUST-0245;PT Zeus Kimiatama Indonesia;;;;1;;;;;;;;;
246;CUST-0246;PT Zhi Xing Indonesia;;;;1;;;;;;;;;
