"id";"module";"page";"action";"subaction";"component";"key_name";"display_name";"description";"category";"is_active";"created_at";"updated_at"
"15";"marketing";"quotation";"delete";;;"marketing.quotation.delete";"Marketing - Quotation - Delete";"Delete quotation";"delete";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"16";"marketing";"quotation";"approve";;;"marketing.quotation.approve";"Marketing - Quotation - Approve";"Approve quotation";"action";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"17";"marketing";"quotation";"print";;;"marketing.quotation.print";"Marketing - Quotation - Print";"Print quotation document";"action";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"18";"marketing";"spk";"navigation";;;"marketing.spk.navigation";"SPK Management Navigation";"Access to SPK Management menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"19";"marketing";"spk";"index";;;"marketing.spk.index";"View SPK List";"View SPK management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"20";"marketing";"spk";"create";;;"marketing.spk.create";"Create SPK";"Create new SPK";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"21";"marketing";"spk";"edit";;;"marketing.spk.edit";"Edit SPK";"Edit existing SPK";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"22";"marketing";"spk";"delete";;;"marketing.spk.delete";"Delete SPK";"Delete SPK";"delete";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"23";"marketing";"spk";"close";;;"marketing.spk.close";"Close SPK";"Close completed SPK";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"24";"marketing";"delivery";"navigation";;;"marketing.delivery.navigation";"Delivery Instructions Navigation";"Access to Delivery Instructions menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"25";"marketing";"delivery";"index";;;"marketing.delivery.index";"View Delivery Instructions";"View delivery instructions page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"26";"marketing";"delivery";"create";;;"marketing.delivery.create";"Create Delivery Instruction";"Create new delivery instruction";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"27";"marketing";"delivery";"edit";;;"marketing.delivery.edit";"Edit Delivery Instruction";"Edit delivery instruction";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"28";"marketing";"delivery";"print";;;"marketing.delivery.print";"Print Delivery Instruction";"Print delivery instruction";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"29";"service";"workorder";"navigation";;;"service.workorder.navigation";"Work Orders Navigation";"Access to Work Orders menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"30";"service";"workorder";"index";;;"service.workorder.index";"View Work Orders";"View work orders page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"31";"service";"workorder";"create";;;"service.workorder.create";"Create Work Order";"Create new work order";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"32";"service";"workorder";"edit";;;"service.workorder.edit";"Edit Work Order";"Edit work order";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"33";"service";"workorder";"assign";;;"service.workorder.assign";"Assign Work Order";"Assign technician to work order";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"34";"service";"workorder";"complete";;;"service.workorder.complete";"Complete Work Order";"Mark work order as completed";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"35";"service";"pmps";"navigation";;;"service.pmps.navigation";"PMPS Management Navigation";"Access to PMPS menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"36";"service";"pmps";"index";;;"service.pmps.index";"View PMPS Schedule";"View PMPS management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"37";"service";"pmps";"create";;;"service.pmps.create";"Create PMPS Schedule";"Create new PMPS schedule";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"38";"service";"pmps";"edit";;;"service.pmps.edit";"Edit PMPS Schedule";"Edit PMPS schedule";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"39";"service";"pmps";"execute";;;"service.pmps.execute";"Execute PMPS";"Execute PMPS maintenance";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"40";"service";"area";"navigation";;;"service.area.navigation";"Area Management Navigation";"Access to Area Management menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"41";"service";"area";"index";;;"service.area.index";"View Service Areas";"View area management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"42";"service";"area";"create";;;"service.area.create";"Create Service Area";"Create new service area";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"43";"service";"area";"edit";;;"service.area.edit";"Edit Service Area";"Edit service area";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"44";"service";"area";"assign_user";;;"service.area.assign_user";"Assign User to Area";"Assign user to service area";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"45";"service";"user";"navigation";;;"service.user.navigation";"Service User Management Navigation";"Access to Service User Management menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"46";"service";"user";"index";;;"service.user.index";"View Service Users";"View service user management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"47";"service";"user";"create";;;"service.user.create";"Create Service User";"Create new service user";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"48";"service";"user";"edit";;;"service.user.edit";"Edit Service User";"Edit service user data";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"49";"service";"user";"assign_area";;;"service.user.assign_area";"Assign Service Area";"Assign service area to user";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"50";"service";"user";"assign_branch";;;"service.user.assign_branch";"Assign Branch Access";"Assign branch access to user";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"51";"purchasing";"po";"navigation";;;"purchasing.po.navigation";"Purchasing - PO - Navigation";"Access PO menu";"navigation";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"52";"purchasing";"po";"index";;;"purchasing.po.index";"View Purchase Orders";"View PO management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"53";"purchasing";"po";"create";;;"purchasing.po.create";"Purchasing - PO - Create";"Create PO";"write";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"54";"purchasing";"po";"edit";;;"purchasing.po.edit";"Purchasing - PO - Edit";"Edit PO";"write";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"55";"purchasing";"po";"approve";;;"purchasing.po.approve";"Purchasing - PO - Approve";"Approve PO";"action";"1";"2025-12-12 17:18:20";"2026-03-07 11:24:29"
"56";"purchasing";"po_sparepart";"navigation";;;"purchasing.po_sparepart.navigation";"PO Sparepart Navigation";"Access to PO Sparepart menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"57";"purchasing";"po_sparepart";"index";;;"purchasing.po_sparepart.index";"View Sparepart POs";"View sparepart purchase orders";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"58";"purchasing";"po_sparepart";"create";;;"purchasing.po_sparepart.create";"Create Sparepart PO";"Create sparepart purchase order";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"59";"purchasing";"supplier";"navigation";;;"purchasing.supplier.navigation";"Supplier Management Navigation";"Access to Supplier Management menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"60";"purchasing";"supplier";"index";;;"purchasing.supplier.index";"View Suppliers";"View supplier management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"61";"purchasing";"supplier";"create";;;"purchasing.supplier.create";"Create Supplier";"Add new supplier";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"62";"purchasing";"supplier";"edit";;;"purchasing.supplier.edit";"Edit Supplier";"Edit supplier information";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"63";"warehouse";"unit_inventory";"navigation";;;"warehouse.unit_inventory.navigation";"Unit Inventory Navigation";"Access to Unit Inventory menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"64";"warehouse";"unit_inventory";"index";;;"warehouse.unit_inventory.index";"View Unit Inventory";"View unit inventory page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"65";"warehouse";"unit_inventory";"create";;;"warehouse.unit_inventory.create";"Add Unit Inventory";"Add new unit to inventory";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"66";"warehouse";"unit_inventory";"edit";;;"warehouse.unit_inventory.edit";"Edit Unit Inventory";"Edit unit inventory data";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"67";"warehouse";"attachment_inventory";"navigation";;;"warehouse.attachment_inventory.navigation";"Attachment & Battery Navigation";"Access to Attachment & Battery menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"68";"warehouse";"attachment_inventory";"index";;;"warehouse.attachment_inventory.index";"View Attachment Inventory";"View attachment & battery inventory";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"69";"warehouse";"attachment_inventory";"create";;;"warehouse.attachment_inventory.create";"Add Attachment Inventory";"Add attachment to inventory";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"70";"warehouse";"sparepart_inventory";"navigation";;;"warehouse.sparepart_inventory.navigation";"Sparepart Inventory Navigation";"Access to Sparepart Inventory menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"71";"warehouse";"sparepart_inventory";"index";;;"warehouse.sparepart_inventory.index";"View Sparepart Inventory";"View sparepart inventory page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"72";"warehouse";"sparepart_inventory";"create";;;"warehouse.sparepart_inventory.create";"Add Sparepart Inventory";"Add sparepart to inventory";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"73";"warehouse";"sparepart_usage";"navigation";;;"warehouse.sparepart_usage.navigation";"Sparepart Usage & Returns Navigation";"Access to Sparepart Usage menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"74";"warehouse";"sparepart_usage";"index";;;"warehouse.sparepart_usage.index";"View Sparepart Usage";"View sparepart usage page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"75";"warehouse";"sparepart_usage";"create";;;"warehouse.sparepart_usage.create";"Record Sparepart Usage";"Record sparepart usage";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"76";"warehouse";"sparepart_usage";"return";;;"warehouse.sparepart_usage.return";"Process Sparepart Return";"Process sparepart returns";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"77";"warehouse";"po_verification";"navigation";;;"warehouse.po_verification.navigation";"PO Verification Navigation";"Access to PO Verification menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"78";"warehouse";"po_verification";"index";;;"warehouse.po_verification.index";"View PO Verification";"View PO verification page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"79";"warehouse";"po_verification";"verify";;;"warehouse.po_verification.verify";"Verify PO Items";"Verify purchase order items";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"80";"warehouse";"po_verification";"approve";;;"warehouse.po_verification.approve";"Approve PO Verification";"Approve verification results";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"81";"accounting";"invoice";"navigation";;;"accounting.invoice.navigation";"Invoice Management Navigation";"Access to Invoice Management menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"82";"accounting";"invoice";"index";;;"accounting.invoice.index";"View Invoices";"View invoice management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"83";"accounting";"invoice";"create";;;"accounting.invoice.create";"Create Invoice";"Create new invoice";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"84";"accounting";"invoice";"edit";;;"accounting.invoice.edit";"Edit Invoice";"Edit invoice data";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"85";"accounting";"invoice";"approve";;;"accounting.invoice.approve";"Approve Invoice";"Approve invoice for processing";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"86";"accounting";"invoice";"print";;;"accounting.invoice.print";"Print Invoice";"Print invoice document";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"87";"accounting";"payment";"navigation";;;"accounting.payment.navigation";"Payment Validation Navigation";"Access to Payment Validation menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"88";"accounting";"payment";"index";;;"accounting.payment.index";"View Payment Validation";"View payment validation page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"89";"accounting";"payment";"validate";;;"accounting.payment.validate";"Validate Payment";"Validate payment transactions";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"90";"accounting";"payment";"approve";;;"accounting.payment.approve";"Approve Payment";"Approve validated payments";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"91";"accounting";"payment";"reject";;;"accounting.payment.reject";"Reject Payment";"Reject payment validation";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"92";"operational";"delivery";"navigation";;;"operational.delivery.navigation";"Delivery Process Navigation";"Access to Delivery Process menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"93";"operational";"delivery";"index";;;"operational.delivery.index";"View Delivery Process";"View delivery process page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"94";"operational";"delivery";"create";;;"operational.delivery.create";"Create Delivery";"Create new delivery";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"95";"operational";"delivery";"dispatch";;;"operational.delivery.dispatch";"Dispatch Delivery";"Dispatch delivery for execution";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"96";"operational";"delivery";"track";;;"operational.delivery.track";"Track Delivery";"Track delivery status";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"97";"perizinan";"silo";"navigation";;;"perizinan.silo.navigation";"SILO Management Navigation";"Access to SILO menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"98";"perizinan";"silo";"index";;;"perizinan.silo.index";"View SILO Documents";"View SILO management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"99";"perizinan";"silo";"create";;;"perizinan.silo.create";"Create SILO Application";"Create new SILO application";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"100";"perizinan";"silo";"edit";;;"perizinan.silo.edit";"Edit SILO Application";"Edit SILO application";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"101";"perizinan";"silo";"approve";;;"perizinan.silo.approve";"Approve SILO";"Approve SILO application";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"102";"perizinan";"emisi";"navigation";;;"perizinan.emisi.navigation";"EMISI Management Navigation";"Access to EMISI menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"103";"perizinan";"emisi";"index";;;"perizinan.emisi.index";"View EMISI Documents";"View EMISI management page";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"104";"perizinan";"emisi";"create";;;"perizinan.emisi.create";"Create EMISI Application";"Create new EMISI application";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"105";"perizinan";"emisi";"edit";;;"perizinan.emisi.edit";"Edit EMISI Application";"Edit EMISI application";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"106";"perizinan";"emisi";"approve";;;"perizinan.emisi.approve";"Approve EMISI";"Approve EMISI application";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"107";"admin";"dashboard";"navigation";;;"admin.dashboard.navigation";"Administration Navigation";"Access to Administration menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"108";"admin";"dashboard";"index";;;"admin.dashboard.index";"View Administration Dashboard";"View administration dashboard";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"109";"admin";"dashboard";"stats";;;"admin.dashboard.stats";"View System Statistics";"View system statistics and reports";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"110";"admin";"dashboard";"reports";;;"admin.dashboard.reports";"Generate Admin Reports";"Generate administrative reports";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"111";"admin";"config";"navigation";;;"admin.config.navigation";"Configuration Navigation";"Access to Configuration menu";"navigation";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"112";"admin";"config";"index";;;"admin.config.index";"View Configuration";"View system configuration";"read";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"113";"admin";"config";"edit";;;"admin.config.edit";"Edit Configuration";"Edit system configuration";"write";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"114";"admin";"config";"backup";;;"admin.config.backup";"Backup Configuration";"Backup system configuration";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"115";"admin";"config";"restore";;;"admin.config.restore";"Restore Configuration";"Restore system configuration";"action";"1";"2025-12-12 17:18:20";"2025-12-12 17:18:20"
"116";"service";"user";"edit_password";NULL;NULL;"service.user.edit_password";"Edit User Password";"Can change user passwords";NULL;"1";"2025-12-12 22:32:38";"2025-12-12 22:32:38"
"117";"service";"user";"assign_permissions";NULL;NULL;"service.user.assign_permissions";"Assign User Permissions";"Can assign custom permissions to users";NULL;"1";"2025-12-12 22:32:38";"2025-12-12 22:32:38"
"118";"perizinan";"silo";"export";NULL;NULL;"perizinan.silo.export";"Export Data SILO";"Izin untuk export data SILO ke Excel";"EXPORT";"1";"2026-01-27 15:49:33";"2026-01-27 15:49:33"
"119";"marketing";"operator";"navigation";NULL;NULL;"marketing.operator.navigation";"Operator Management Navigation";"Access to operator management menu";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"120";"marketing";"operator";"view";NULL;NULL;"marketing.operator.view";"View Operator List";"View and search operator data";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"121";"marketing";"operator";"create";NULL;NULL;"marketing.operator.create";"Create Operator";"Add new operator/driver";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"122";"marketing";"operator";"edit";NULL;NULL;"marketing.operator.edit";"Edit Operator";"Update operator information";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"123";"marketing";"operator";"delete";NULL;NULL;"marketing.operator.delete";"Delete Operator";"Remove operator from system";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"124";"marketing";"operator";"assign";NULL;NULL;"marketing.operator.assign";"Assign Operator to Contract";"Assign operator to rental contracts";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"125";"marketing";"operator";"export";NULL;NULL;"marketing.operator.export";"Export Operator Data";"Export operator list to Excel/PDF";"Marketing";"1";"2026-02-16 23:03:06";"2026-02-16 23:03:06"
"126";"admin";"users";"navigation";;;"admin.users.navigation";"Admin User Management Navigation";"Akses menu Admin User Management";"navigation";"1";"2026-02-24 09:32:09";"2026-02-24 09:32:09"
"127";"admin";"users";"view";;;"admin.users.view";"Lihat Daftar User";"Melihat daftar dan detail user (GET/read-only)";"read";"1";"2026-02-24 09:32:09";"2026-02-24 09:32:09"
"128";"admin";"users";"create";;;"admin.users.create";"Buat User Baru";"Membuat user baru (POST)";"write";"1";"2026-02-24 09:32:09";"2026-02-24 09:32:09"
"129";"admin";"users";"edit";;;"admin.users.edit";"Edit User";"Mengedit data user yang ada (PUT/PATCH)";"write";"1";"2026-02-24 09:32:09";"2026-02-24 09:32:09"
"130";"admin";"users";"delete";;;"admin.users.delete";"Hapus User";"Menghapus user dari sistem (DELETE)";"delete";"1";"2026-02-24 09:32:09";"2026-02-24 09:32:09"
"131";"admin";"users";"export";;;"admin.users.export";"Export Data User";"Export data user ke CSV/Excel";"export";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"132";"admin";"users";"assign_role";;;"admin.users.assign_role";"Assign Role ke User";"Memberikan atau mencabut role dari user";"action";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"133";"admin";"users";"assign_permission";;;"admin.users.assign_permission";"Assign Permission ke User";"Memberikan atau mencabut permission langsung dari user";"action";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"134";"admin";"users";"view_matrix";;;"admin.users.view_matrix";"Lihat Permission Matrix";"Melihat permission matrix user (AJAX)";"read";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"135";"admin";"users";"view_division_users";;;"admin.users.view_division_users";"Lihat User per Divisi";"Melihat daftar user dalam suatu divisi (AJAX)";"read";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"136";"admin";"permissions";"navigation";;;"admin.permissions.navigation";"Admin Permission Management Navigation";"Akses menu Permission Management";"navigation";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"137";"admin";"permissions";"view";;;"admin.permissions.view";"Lihat Daftar Permission";"Melihat daftar dan detail permission (GET)";"read";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"138";"admin";"permissions";"create";;;"admin.permissions.create";"Buat Permission Baru";"Membuat permission key baru (POST)";"write";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"139";"admin";"permissions";"edit";;;"admin.permissions.edit";"Edit Permission";"Mengedit permission yang ada (PUT)";"write";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"140";"admin";"permissions";"delete";;;"admin.permissions.delete";"Hapus Permission";"Menghapus permission dari sistem (DELETE)";"delete";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"141";"admin";"system";"view";;;"admin.system.view";"Lihat System Dashboard";"Melihat system status, metrics, dan dashboard admin";"read";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"142";"admin";"system";"settings";;;"admin.system.settings";"Ubah System Settings";"Mengubah konfigurasi sistem (POST)";"write";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"143";"admin";"system";"clear_cache";;;"admin.system.clear_cache";"Clear Cache";"Membersihkan cache sistem";"action";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"144";"admin";"system";"clear_sessions";;;"admin.system.clear_sessions";"Clear Sessions";"Membersihkan sesi pengguna lain";"action";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"145";"admin";"system";"performance_test";;;"admin.system.performance_test";"Jalankan Performance Test";"Menjalankan tes performa sistem";"action";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"146";"admin";"security_audit";"view";;;"admin.security_audit.view";"Lihat Security Audit Log";"Melihat log percobaan akses ilegal";"read";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"147";"admin";"security_audit";"export";;;"admin.security_audit.export";"Export Security Audit Log";"Export log keamanan ke CSV";"export";"1";"2026-02-24 09:32:10";"2026-02-24 09:32:10"
"148";"warehouse";"inventory";"view_cross_division";NULL;NULL;"warehouse.inventory.view_cross_division";"View Inventory (Cross-Division)";"View inventory across divisions - untuk divisi lain yang perlu cek ketersediaan unit";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"149";"warehouse";"inventory";"manage_cross_division";NULL;NULL;"warehouse.inventory.manage_cross_division";"Manage Inventory (Cross-Division)";"Manage inventory across divisions - untuk Service yang perlu update status unit setelah maintenance";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"150";"marketing";"kontrak";"view_cross_division";NULL;NULL;"marketing.kontrak.view_cross_division";"View Kontrak (Cross-Division)";"View kontrak across divisions - untuk Service, Operational, Warehouse, Accounting";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"151";"service";"workorder";"view_cross_division";NULL;NULL;"service.workorder.view_cross_division";"View Work Order (Cross-Division)";"View work order across divisions - untuk Marketing, Warehouse, Accounting";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"152";"purchasing";"po";"view_cross_division";NULL;NULL;"purchasing.po.view_cross_division";"View PO (Cross-Division)";"View purchase order across divisions - untuk Marketing, Warehouse, Accounting";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"153";"operational";"delivery";"view_cross_division";NULL;NULL;"operational.delivery.view_cross_division";"View Delivery (Cross-Division)";"View delivery across divisions - untuk Marketing, Warehouse";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"154";"accounting";"financial";"view_cross_division";NULL;NULL;"accounting.financial.view_cross_division";"View Financial (Cross-Division)";"View financial data across divisions - untuk Marketing, Service, Purchasing";"resource";"1";"2026-02-24 10:40:46";"2026-02-24 10:40:46"
"155";"marketing";"audit_approval";"navigation";NULL;NULL;"marketing.audit_approval.navigation";"Marketing - Audit Approval - Navigation";"Access audit approval menu";"Marketing";"1";"2026-03-07 10:46:08";"2026-03-07 11:24:29"
